"s__acidaminiphila" "s__acnes" "s__adhaesivum" "s__adolescentis" "s__aeria" "s__aerofaciens" "s__agalactiae" "s__aggregatus" "s__agilis" "s__ahygroscopicus" "s__alaskensis" "s__albidocapillata" "s__alcaligenes" "s__alkalitolerans" "s__aminovorans" "s__amylolyticus" "s__amylovorum" "s__anaerobius" "s__andropogonis" "s__anginosus" "s__animalis" "s__aquatilis" "s__arupense" "s__arvensicola" "s__asini" "s__aureum" "s__aureus" "s__aurum" "s__autotrophicus" "s__bacteriovorus" "s__balearica" "s__barengoltzii" "s__bifida" "s__bifidum" "s__biforme" "s__biprosthecium" "s__bispora" "s__boronitolerans" "s__bowmanii" "s__brevis" "s__bryantii" "s__bryophila" "s__C21_c20" "s__caccae" "s__caeni" "s__campisalis" "s__canimorsus" "s__cateniformis" "s__catus" "s__cecorum" "s__celatum" "s__celer" "s__cellulosum" "s__chitinolyticus" "s__chondroitinus" "s__cinerea" "s__citronellolis" "s__clausii" "s__coagulans" "s__coleohominis" "s__copri" "s__cosmopolitanus" "s__cryaerophilus" "s__cryoconitis" "s__curvus" "s__delafieldii" "s__delbrueckii" "s__dentocariosa" "s__diminuta" "s__dispar" "s__dispersa" "s__distasonis" "s__doebereinerae" "s__dolichum" "s__durum" "s__echinoides" "s__effusa" "s__eggerthii" "s__eikelboomii" "s__elegans" "s__elkanii" "s__endodontalis" "s__endophyticus" "s__enterica" "s__epidermidis" "s__equi" "s__equorum" "s__europaeus" "s__exhalans" "s__faecis" "s__faecium" "s__fascians" "s__firmus" "s__fischeri" "s__flavefaciens" "s__flexus" "s__formigenes" "s__fragi" "s__fragilis" "s__fulvum" "s__fusca" "s__gargensis" "s__garvieae" "s__gelatinosus" "s__genomosp." "s__genosp." "s__geothermalis" "s__gibsonii" "s__ginsengihumi" "s__gladioli" "s__gnavus" "s__granuli" "s__granulosum" "s__gubbeenense" "s__guillouiae" "s__haemolyticus" "s__haemoperoxidus" "s__halodurans" "s__halophobica" "s__hiranonis" "s__huakuii" "s__humi" "s__hydrocarbonoclasticus" "s__hyovaginalis" "s__hypermegale" "s__ichthyoenteri" "s__indoligenes" "s__iners" "s__infantis" "s__influenzae" "s__insecticola" "s__intermedia" "s__intermedium" "s__invocatus" "s__jenensis" "s__johnsonii" "s__kashmirensis" "s__kestanbolensis" "s__komagatae" "s__kroppenstedtii" "s__kuhniae" "s__kujiense" "s__lanatus" "s__larsenii" "s__lautus" "s__leguminosarum" "s__lenta" "s__lividum" "s__luteciae" "s__luteus" "s__lwoffii" "s__macerans" "s__maitriensis" "s__marcescens" "s__marisflavi" "s__maritypicum" "s__mastitidis" "s__mazei" "s__melaninogenica" "s__melopsittaci" "s__meningoseptica" "s__mephitis" "s__mesenteroides" "s__metschnikovii" "s__mexicana" "s__michiganensis" "s__mobilis" "s__modestum" "s__moniliformis" "s__moorei" "s__morganii" "s__mucilaginosa" "s__muciniphila" "s__mucosa" "s__mucosae" "s__multivorum" "s__multocida" "s__muralis" "s__nanceiensis" "s__natatoria" "s__neonatale" "s__nigrescens" "s__nitroreducens" "s__noxia" "s__obscurus" "s__ochracea" "s__odoratimimus" "s__organophilum" "s__otitis" "s__ovatus" "s__p-1630-c5" "s__pachnodae" "s__pallens" "s__palleronii" "s__palustris" "s__paradoxus" "s__parahaemolyticus" "s__parainfluenzae" "s__parvula" "s__pasteurianum" "s__paucivorans" "s__perfringens" "s__petroleiphilum" "s__pettenkoferi" "s__plebeius" "s__porcinus" "s__porphyrae" "s__prausnitzii" "s__producta" "s__pseudolongum" "s__psychrolactophilus" "s__psychrophilus" "s__psychrotolerans" "s__pulmonis" "s__ramosa" "s__ramosum" "s__rectus" "s__reuszeri" "s__reuteri" "s__rhizophila" "s__rhizosphaerae" "s__rhizovicinus" "s__rimae" "s__rosea" "s__ruber" "s__rugosa" "s__ruminis" "s__rumoiensis" "s__saccharolyticum" "s__salaria" "s__salsilacus" "s__SCA1145" "s__SCA1170" "s__schaedleri" "s__schindleri" "s__sciuri" "s__segnis" "s__selenatarsenatis" "s__serinedens" "s__shigelloides" "s__simulans" "s__socranskii" "s__somerae" "s__stationis" "s__stercorea" "s__stercoris" "s__stuartii" "s__stutzeri" "s__stygium" "s__subflava" "s__subterminale" "s__subterranea" "s__succinicans" "s__succinus" "s__tannerae" "s__Taxon" "s__tenuis" "s__thermodenitrificans" "s__toletana" "s__torques" "s__transvaalensis" "s__tropica" "s__umsongensis" "s__uniformis" "s__variabile" "s__venetianus" "s__veronii" "s__viridans" "s__viridescens" "s__viridiflava" "s__wittichii" "s__xenophagum" "s__yabuuchiae" "s__yanoikuyae" "s__zavarzinii" "s__zeae" "s__zeaxanthinifaciens"
"Salti.Forehead" 0 11.610563503925 0 0 4.90689059560852 0 0 0 0 0 1.58496250072116 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 3.4594316186373 0 0 0 0 0 0 3.70043971814109 0 8.71080643369935 0 0 0 0 6.22881869049588 0 1 0 0 0 0 0 0 0 3.90689059560852 0 1 0 0 0 0 1 0 0 0 1 0 3.32192809488736 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 1 0 0 0 0 0 11.7553048882624 0 0 0 5.78135971352466 0 0 0 0 0 0 0 0 0 4.95419631038687 0 0 0 0 0 0 0 0 4.64385618977472 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 5.64385618977472 0 0 0 0 0 0 3 0 0 3.8073549220576 0 0 0 2.58496250072116 0 0 0 0 0 0 2.58496250072116 0 0 1 1 9.66355810421727 7.21916852046216 0 0 0 0 0 0 0 0 1 1.58496250072116 0 0 0 0 0 0 0 4.39231742277876 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.04439411935845 1.58496250072116 4.08746284125034 0 0 0 2 1.58496250072116 0 0 0 0 0 1 0 6 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0
"Northwind.Forehead" 0 4.8073549220576 0 0 4.52356195605701 0 1 2 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 3.90689059560852 0 0 0 0 0 0 5.88264304936184 0 11.0881256921882 0 1 0 0 5.58496250072116 0 0 0 0 0 0 0 0 0 2.32192809488736 0 1.58496250072116 0 0 0 1.58496250072116 0 0 0 0 0 0 3.90689059560852 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 2.58496250072116 0 0 0 0 0 0 11.8719052376592 0 0 0 7.4757334309664 0 0 0 0 0 0 0 1 0 3 4.52356195605701 0 0 0 0 0 0 0 10.0728025345442 0 0 0 0 0 0 0 0 0 0 6.7279204545632 0 2.32192809488736 0 0 0 0 0 0 2 0 0 9.21431912080077 2 10.1623913287569 0 9.04712391211403 0 0 0 1.58496250072116 0 0 2.32192809488736 0 0 1 0 8.6724253419715 7.31288295528436 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 9.10852445677817 0 0 1 2.32192809488736 0 4.4594316186373 0 0 0 0 0 0 0 0 0 0 0 4.70043971814109 0 9.21431912080077 0 0 0 3.70043971814109 7.57742882803575 0 0 0 0 0 3.32192809488736 0 6.59991284218713 0 1 0 0 8.33985000288462 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"Stannes.Forehead" 0 7.51569983828404 0 2 7.94836723158468 1 0 3 0 0 0 0 0 0 0 0 0 0 1.58496250072116 2.32192809488736 0 0 0 0 0 0 4.08746284125034 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 4.16992500144231 0 0 0 0 0 0 5.97727992349992 0 6.33985000288462 0 0 0 0 4.75488750216347 2 0 0 0 0 0 0 0 0 3.16992500144231 0 1.58496250072116 0 0 4 0 0 0 0 0 2 0 1 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 1.58496250072116 0 0 0 0 0 0 13.7301516731733 0 0 0 3.90689059560852 0 0 0 0 0 0 0 1 0 3.8073549220576 0 0 0 0 0 0 0 0 5.32192809488736 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 4.4594316186373 0 2.32192809488736 0 0 0 0 2 0 0 2.8073549220576 0 1.58496250072116 0 2.8073549220576 0 0 0 0 0 0 2 0 0 3.58496250072116 0 9.50581155391959 5.28540221886225 0 0 0 0 0 0 0 0 3.4594316186373 2 0 0 0 1.58496250072116 0 0 0 5.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.85798099512757 1 3.4594316186373 0 0 0 6.44294349584873 0 3 0 0 0 0 3.70043971814109 0 5.55458885167764 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 1 0 1.58496250072116 0 0 0 1.58496250072116 0 5.64385618977472 0 0 0 2
"Dias.Forehead" 0 6.94251450533924 0 0 7.54689445988764 0 0 2 0 0 0 0 0 0 3 0 0 2.58496250072116 0 1 0 0 0 0 1 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.02236781302845 0 0 0 0 4.08746284125034 0 0 0 0 0 0 12.2012050072995 0 8.46352437327118 0 0 0 0 8.60733031374961 2 1 0 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 0 2.8073549220576 1 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 5.32192809488736 2.32192809488736 0 0 0 0 0 0 13.137471503352 0 0 0 1 0 0 0 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 6.83289001416474 0 0 0 1 0 0 0 0 0 0 5.16992500144231 0 5.85798099512757 0 0 0 0 0 0 0 0 0 5.4262647547021 0 3.58496250072116 0 5.04439411935845 0 0 3.32192809488736 0 0 0 1.58496250072116 0 0 0 0 8.4757334309664 8.02790599656988 0 0 0 0 0 0 0 0 0 2 0 2.32192809488736 0 0 0 0 0 5 0 0 2 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 6.4262647547021 0 0 0 0 0 5.20945336562895 3.4594316186373 0 0 0 0 0 3.90689059560852 3.58496250072116 8.12412131182919 0 1 0 0 6.4262647547021 0 0 0 0 0 0 0 0 2.32192809488736 0 1 1 0 0 0 0 0 0 0 0 0 0
"Caravel.Forehead" 0 7.34872815423108 0 0 4.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 4.52356195605701 0 0 0 0 1 0 0 0 0 0 0 6.02236781302845 0 6.22881869049588 0 0 0 3.8073549220576 2 0 0 0 0 0 0 0 0 0 3 0 1.58496250072116 0 0 0 0 0 0 0 0 2.58496250072116 0 1.58496250072116 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 13.5868397879618 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 4.08746284125034 0 2 0 0 0 0 0 0 0 0 0 0 6.4262647547021 4.52356195605701 0 0 0 0 0 3.70043971814109 0 0 4.75488750216347 0 2.32192809488736 0 3.16992500144231 0 0 0 1 0 0 0 0 0 0 0 7.06608919045777 5.4262647547021 0 0 0 2 0 0 0 0 0 4.16992500144231 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.70043971814109 1 4.32192809488736 0 0 0 3.32192809488736 0 0 0 0 0 0 2.32192809488736 0 5.39231742277876 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
"Buckinghan.Forehead" 0 2.32192809488736 1.58496250072116 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 1.58496250072116 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 13.1722712290547 0 0 0 0 0 0 0 0 0 0 0 1 0 4.95419631038687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 3 4.32192809488736 0 3 0 0 1 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 2 0 0 0 0 2 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.4594316186373 0 0 0 0 0 4.52356195605701 0 0 0 0 0 0 3.16992500144231 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0
"Willowbe.Forehead" 0 7.8073549220576 3.58496250072116 1.58496250072116 6.39231742277876 0 0 2.58496250072116 0 0 0 0 1.58496250072116 0 4.24792751344359 0 0 0 2 0 0 0 0 0 0 2.32192809488736 5.08746284125034 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 4.8073549220576 0 0 0 0 0 0 5.83289001416474 0 5.08746284125034 0 3 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 5.24792751344359 2 1 0 0 0 0 3 0 0 0 2.58496250072116 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 1.58496250072116 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.3328757311527 0 0 0 2.8073549220576 0 0 0 0 0 3.16992500144231 0 1 0 6.06608919045777 0 0 0 0 0 0 0 0 5.12928301694497 0 0 0 0 0 0 0 0 0 0 0 0 4.4594316186373 0 3.4594316186373 0 0 0 0 3.90689059560852 0 0 3.4594316186373 0 0 0 0 0 0 0 1 0 0 4.16992500144231 0 3 0 0 7.29462074889163 5.52356195605701 0 0 0 0 0 0 0 0 1 2.8073549220576 0 0 0 0 0 0 0 0 0 0 7.25738784269265 1 0 0 0 0 0 0 0 0 0 0 0 0 0 7.40087943628218 1.58496250072116 2.8073549220576 0 0 0 3 0 0 0 0 0 0 3 2.32192809488736 5.97727992349992 0 5.83289001416474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 3.70043971814109
"Misty.Forehead" 0 8.69696752623429 1 1 2.58496250072116 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 0 4.4594316186373 0 0 0 0 0 0 4.39231742277876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 1 0 0 4.39231742277876 6.88264304936184 7.15987133677839 0 2.8073549220576 0 0 4.16992500144231 0 0 3.16992500144231 0 0 0 2.32192809488736 0 0 4.4594316186373 0 0 0 0 1 0 0 0 0 0 3.4594316186373 0 2.58496250072116 1 0 0 0 0 1 0 0 0 0 0 0 1.58496250072116 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 1 0 0 0 0 0 0 12.6073303137496 3.32192809488736 0 0 3.90689059560852 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 7.59245703726808 0 0 0 3.70043971814109 0 0 0 0 0 0 1 0 4.16992500144231 3.4594316186373 0 0 1 0 0 1.58496250072116 0 0 3.58496250072116 0 3.90689059560852 0 4.64385618977472 0 0 0 2.58496250072116 0 0 3.58496250072116 0 0 2.8073549220576 3.16992500144231 6.10852445677817 5.58496250072116 0 6.59991284218713 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 4.24792751344359 0 0 5.64385618977472 3 0 0 0 0 0 0 0 0 0 0 0 0 0 6.06608919045777 2 6.4262647547021 0 0 0 8.79766152585376 2 0 0 0 0 1 2.8073549220576 2 6.75488750216347 0 3 0 0 5.32192809488736 0 0 0 0 0 0 0 0 5.6724253419715 2.32192809488736 0 0 0 0 1 0 0 1.58496250072116 0 0 0 0
"Nyack.Forehead" 0 4.8073549220576 2 1 6.39231742277876 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1.58496250072116 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 3.70043971814109 0 0 2.58496250072116 0 0 0 7.69348695749933 0 6.56985560833095 0 0 0 0 4.39231742277876 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 1 0 0 0 0 0 0 6.62935662007961 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8938703047851 0 0 0 0 0 0 0 0 1 0 0 1 0 3.70043971814109 0 0 0 0 0 0 0 0 5.08746284125034 0 0 0 3.4594316186373 0 0 0 1 0 0 3.70043971814109 0 5.24792751344359 1 0 0 0 0 0 0 0 0 3 0 3.16992500144231 0 4.64385618977472 2.58496250072116 0 0 0 0 0 4 0 0 0 0 4.52356195605701 3.90689059560852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 6 0 1 0 0 0 2.32192809488736 0 0 0 0 0 0 2 1 4.58496250072116 0 2 0 0 1.58496250072116 0 0 0 0 0 0 0 0 1.58496250072116 0 0 1.58496250072116 0 0 2.32192809488736 0 0 0 0 0 1 2.58496250072116
"Bulls.Forehead" 0 10.90989308377 0 0 3.70043971814109 0 0 2.32192809488736 0 0 0 0 0 0 1 0 0 0 1.58496250072116 4.24792751344359 0 0 0 0 0 1 2.8073549220576 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3.90689059560852 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 1 6.56985560833095 0 0 0 0 0 0 4.90689059560852 0 8.7279204545632 0 0 0 0 3.8073549220576 0 0 0 0 0 0 4.39231742277876 0 0 3.16992500144231 0 0 0 0 0 3 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.32192809488736 0 0 0 13.5364900731992 0 0 0 2.8073549220576 0 0 0 0 0 0 0 1.58496250072116 0 12.1195896207411 1 0 0 0 0 0 0 0 7.94251450533924 0 0 0 0 0 0 0 0 0 0 0 0 8.14465824283188 0 0 0 0 0 0 0 0 0 5.12928301694497 0 0 0 2.32192809488736 0 0 0 0 0 0 5.70043971814109 0 0 2.58496250072116 0 8.4178525148859 5.4594316186373 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2.32192809488736 0 0 4.75488750216347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.2667865406949 0 4.8073549220576 0 0 0 6.20945336562895 0 0 0 0 0 0 4.58496250072116 2.8073549220576 7.74146698640115 0 3.58496250072116 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 0
